category,description,education,job_market,riasec_artistic,riasec_conventional,riasec_enterprising,riasec_investigative,riasec_realistic,riasec_social,salary_range
"ARTS,Performance artistique,Conservatoire,Variable,98,50,72,64,76,80,""25,000 - 30,000"""
"ARTS,Écriture créative,Formation en Écriture,Variable,96,62,64,78,48,74,""20,000 - 25,000"""
"ARTS,Design graphique,Licence Design,Stable,92,60,66,55,50,70,""22,000 - 28,000"""
"ARTS,Musicien,Académie de Musique,Variable,95,58,60,50,54,72,""18,000 - 24,000"""
"EDUCATION,Enseignement secondaire,Master en Sciences de l'Éducation,Stable,58,70,62,86,64,84,""30,000 - 35,000"""
"EDUCATION,Accompagnement scolaire,Master en Orientation,Stable,64,68,76,72,56,94,""32,000 - 36,000"""
"EDUCATION,Formation en informatique,Master en Informatique,Croissant,60,76,70,82,68,86,""35,000 - 40,000"""
"EDUCATION,Professeur universitaire,Doctorat en Sciences,Stable,55,72,60,88,70,90,""40,000 - 45,000"""
"IT,Développeur Backend,Licence Informatique,Croissant,40,85,65,75,90,60,""35,000 - 45,000"""
"IT,Ingénieur Data,École d'Ingénieur en Data,Croissant,45,70,75,92,88,62,""40,000 - 55,000"""
"IT,Développeur Frontend,Formation Développement Web,Croissant,72,65,70,60,58,64,""28,000 - 38,000"""
"IT,Administrateur Réseau,Master en Systèmes Réseaux,Stable,30,85,70,80,95,55,""38,000 - 48,000"""
"HEALTH,Infirmier,École Supérieure de Santé,Stable,40,65,70,72,68,96,""28,000 - 34,000"""
"HEALTH,Médecin généraliste,Faculté de Médecine,Stable,35,72,68,95,85,90,""60,000 - 80,000"""
"HEALTH,Psychologue,Master en Psychologie,Stable,50,68,62,78,55,92,""32,000 - 40,000"""
"BUSINESS,Chef de Projet,Master en Management,Croissant,55,82,90,70,65,74,""45,000 - 55,000"""
"BUSINESS,Entrepreneur,Formation Business,Croissant,60,60,95,68,70,66,""50,000 - 70,000"""
"BUSINESS,Analyste Financier,Master Finance,Stable,45,90,85,80,72,58,""55,000 - 75,000"""
"ENGINEERING,Architecte,École d'Architecture,Croissant,70,65,80,68,85,64,""45,000 - 60,000"""
"ENGINEERING,Ingénieur Logiciel,Master Génie Logiciel,Croissant,50,78,85,85,90,62,""48,000 - 65,000"""
